"id","name","region","size","climat","population","points","residential and adjacent spaces","street networks","green spaces","public and business infrastructure and adjacent spaces","social and leisure infrastructure and adjacent spaces","citywide space","img"
"71","Усть-Кут","Иркутская область","Малый город","условно комфортный климат","40,8 тыс.чел.","132","33","22","15","13","18","31","https://api.индекс-городов.рф/uploads/city/emblem/4044/thumb_701_ust-kut.png"
"72","Архангельск","Архангельская область","Крупный город","условно комфортный климат","347 тыс.чел.","157","22","29","21","17","30","38","https://api.индекс-городов.рф/uploads/city/emblem/4376/thumb_1034_Arkhangelsk.png"
"73","Невьянск","Свердловская область","Малый город","условно комфортный климат","22,8 тыс.чел.","190","36","37","24","30","26","37","https://api.индекс-городов.рф/uploads/city/emblem/3782/thumb_439_nevyansk.png"
"74","Шиханы","Саратовская область","Малый город","условно комфортный климат","5,4 тыс.чел.","180","45","32","20","29","22","32","https://api.индекс-городов.рф/uploads/city/emblem/4428/thumb_1086_Shikhany.png"
"75","Грайворон","Белгородская область","Малый город","условно комфортный климат","6,5 тыс.чел.","201","36","31","29","36","32","37","https://api.индекс-городов.рф/uploads/city/emblem/3495/thumb_150_Graivoron.png"
"76","Можга","Удмуртская Республика","Малый город","условно комфортный климат","49 тыс.чел.","177","34","28","27","27","31","30","https://api.индекс-городов.рф/uploads/city/emblem/3762/thumb_419_mozhga.png"
"77","Островной","Мурманская область","Малый город","тяжелые климатические условия","1,7 тыс.чел.","160","33","33","13","15","24","42","https://api.индекс-городов.рф/uploads/city/emblem/4427/thumb_1085_Ostrovnoj.png"
"78","Невельск","Сахалинская область","Малый город","условно комфортный климат","9,8 тыс.чел.","166","17","37","23","30","25","34","https://api.индекс-городов.рф/uploads/city/emblem/3781/thumb_438_nevelsk.png"
"79","Рубцовск","Алтайский край","Большой город","условно комфортный климат","141,6 тыс.чел.","169","31","29","24","19","27","39","https://api.индекс-городов.рф/uploads/city/emblem/4311/thumb_969_Rubtsovsk.png"
"80","Инза","Ульяновская область","Малый город","условно комфортный климат","17,2 тыс.чел.","158","33","31","14","21","21","38","https://api.индекс-городов.рф/uploads/city/emblem/3578/thumb_234_inza.gif"
"81","Феодосия","Республика Крым","Средний город","условно комфортный климат","68 тыс.чел.","180","35","33","21","30","31","30","https://api.индекс-городов.рф/uploads/city/emblem/4209/thumb_867_Feodosia.png"
"82","Шарыпово","Красноярский край","Малый город","условно комфортный климат","36,7 тыс.чел.","181","40","30","17","25","27","42","https://api.индекс-городов.рф/uploads/city/emblem/4080/thumb_738_sharypovo.png"
"83","Брянск","Брянская область","Крупный город","условно комфортный климат","402,7 тыс.чел.","204","47","29","26","38","28","36","https://api.индекс-городов.рф/uploads/city/emblem/4381/thumb_1039_Bryansk.gif"
"84","Горняк","Алтайский край","Малый город","условно комфортный климат","12,3 тыс.чел.","150","34","27","23","15","19","32","https://api.индекс-городов.рф/uploads/city/emblem/3489/thumb_144_gornyak.png"
"85","Нижневартовск","Ханты-Мансийский автономный округ","Крупный город","тяжелые климатические условия","277,7 тыс.чел.","180","44","32","25","18","29","32","https://api.индекс-городов.рф/uploads/city/emblem/4356/thumb_1014_Nizhnevartovsk.png"
"86","Южно-Сахалинск","Сахалинская область","Большой город","условно комфортный климат","200,6 тыс.чел.","181","31","33","30","22","33","32","https://api.индекс-городов.рф/uploads/city/emblem/4333/thumb_991_Yuzhno-Sakhalinsk.png"
"87","Углич","Ярославская область","Малый город","условно комфортный климат","31,8 тыс.чел.","200","32","28","39","31","35","35","https://api.индекс-городов.рф/uploads/city/emblem/4031/thumb_688_uglich.gif"
"88","Свободный","Амурская область","Средний город","условно комфортный климат","54 тыс.чел.","143","31","27","31","12","22","20","https://api.индекс-городов.рф/uploads/city/emblem/4139/thumb_797_svobodniy.gif"
"89","Белинский","Пензенская область","Малый город","условно комфортный климат","7,5 тыс.чел.","179","24","37","39","34","21","24","https://api.индекс-городов.рф/uploads/city/emblem/3404/thumb_59_belinsky.png"
"90","Усмань","Липецкая область","Малый город","условно комфортный климат","19,6 тыс.чел.","177","39","29","14","35","30","30","https://api.индекс-городов.рф/uploads/city/emblem/4041/thumb_698_usman.gif"
"91","Тимашевск","Краснодарский край","Средний город","условно комфортный климат","50,8 тыс.чел.","165","37","23","29","17","28","31","https://api.индекс-городов.рф/uploads/city/emblem/4131/thumb_789_timashevsk.png"
"92","Приволжск","Ивановская область","Малый город","условно комфортный климат","15,3 тыс.чел.","180","39","33","35","25","16","32","https://api.индекс-городов.рф/uploads/city/emblem/3884/thumb_541_privolzhsk.png"
"93","Обнинск","Калужская область","Большой город","условно комфортный климат","117,4 тыс.чел.","202","47","37","25","30","28","35","https://api.индекс-городов.рф/uploads/city/emblem/4283/thumb_941_Obninsk.png"
"94","Карпинск","Свердловская область","Малый город","условно комфортный климат","25,9 тыс.чел.","161","24","37","25","14","28","33","https://api.индекс-городов.рф/uploads/city/emblem/3478/thumb_133_karpinsk.png"
"95","Кузнецк","Пензенская область","Средний город","условно комфортный климат","80,5 тыс.чел.","170","41","20","20","24","32","33","https://api.индекс-городов.рф/uploads/city/emblem/4456/thumb_1115_Kuznetsk.png"
"96","Покровск","Республика Саха (Якутия)","Малый город","тяжелые климатические условия","9,4 тыс.чел.","114","19","26","13","17","14","25","https://api.индекс-городов.рф/uploads/city/emblem/3873/thumb_530_pokrovsk.png"
"97","Клинцы","Брянская область","Средний город","условно комфортный климат","63 тыс.чел.","171","30","29","22","29","28","33","https://api.индекс-городов.рф/uploads/city/emblem/4174/thumb_832_Klintsy.png"
"98","Светогорск","Ленинградская область","Малый город","условно комфортный климат","15,2 тыс.чел.","174","37","33","27","23","18","36","https://api.индекс-городов.рф/uploads/city/emblem/3922/thumb_579_Svetogorsk.png"
"99","Трубчевск","Брянская область","Малый город","условно комфортный климат","13,6 тыс.чел.","165","29","36","24","28","14","34","https://api.индекс-городов.рф/uploads/city/emblem/4021/thumb_678_trubchevsk.png"
"100","Яровое","Алтайский край","Малый город","условно комфортный климат","18,1 тыс.чел.","176","36","35","19","17","32","37","https://api.индекс-городов.рф/uploads/city/emblem/4111/thumb_769_yarovoe.png"
"101","Ардон","Республика Северная Осетия - Алания","Малый город","условно комфортный климат","19,3 тыс.чел.","150","39","30","11","16","21","33","None"
"102","Борисоглебск","Воронежская область","Средний город","условно комфортный климат","59,9 тыс.чел.","180","43","23","13","34","30","37","https://api.индекс-городов.рф/uploads/city/emblem/4185/thumb_843_Borisoglebsk.png"
"103","Кушва","Свердловская область","Малый город","условно комфортный климат","27,2 тыс.чел.","156","30","27","23","20","28","28","https://api.индекс-городов.рф/uploads/city/emblem/3696/thumb_353_kushva.png"
"104","Гремячинск","Пермский край","Малый город","условно комфортный климат","8,2 тыс.чел.","158","20","26","49","10","19","34","https://api.индекс-городов.рф/uploads/city/emblem/3496/thumb_151_gremyachinsk.png"
"105","Покров","Владимирская область","Малый город","условно комфортный климат","16,8 тыс.чел.","180","36","42","18","25","29","30","https://api.индекс-городов.рф/uploads/city/emblem/3872/thumb_529_pokrov.png"
"106","Бор","Нижегородская область","Средний город","условно комфортный климат","76,9 тыс.чел.","180","38","25","31","28","28","30","https://api.индекс-городов.рф/uploads/city/emblem/4229/thumb_887_Bor.png"
"107","Магадан","Магаданская область","Средний город","тяжелые климатические условия","92,1 тыс.чел.","181","32","27","27","23","40","32","https://api.индекс-городов.рф/uploads/city/emblem/4243/thumb_901_Magadan.png"
"108","Туран","Республика Тыва","Малый город","условно комфортный климат","4,9 тыс.чел.","140","17","24","21","29","11","38","https://api.индекс-городов.рф/uploads/city/emblem/4023/thumb_680_turan.png"
"109","Боровск","Калужская область","Малый город","условно комфортный климат","10,3 тыс.чел.","177","41","34","20","33","19","30","https://api.индекс-городов.рф/uploads/city/emblem/3436/thumb_91_borovsk.jpg"
"110","Бугульма","Республика Татарстан","Средний город","условно комфортный климат","82,5 тыс.чел.","196","37","31","27","28","36","37","https://api.индекс-городов.рф/uploads/city/emblem/4238/thumb_896_bugulma.gif"
"111","Заринск","Алтайский край","Малый город","условно комфортный климат","45,9 тыс.чел.","162","35","34","24","15","19","35","https://api.индекс-городов.рф/uploads/city/emblem/3560/thumb_215_zarinsk.png"
"112","Лукоянов","Нижегородская область","Малый город","условно комфортный климат","13,8 тыс.чел.","164","32","24","27","27","21","33","https://api.индекс-городов.рф/uploads/city/emblem/3719/thumb_376_lukoyanov.png"
"113","Саранск","Республика Мордовия","Крупный город","условно комфортный климат","320,6 тыс.чел.","185","38","34","28","20","32","33","https://api.индекс-городов.рф/uploads/city/emblem/4366/thumb_1024_Saransk.png"
"114","Солигалич","Костромская область","Малый город","условно комфортный климат","5,9 тыс.чел.","158","34","28","20","30","20","26","https://api.индекс-городов.рф/uploads/city/emblem/3955/thumb_612_soligalich.png"
"115","Стрежевой","Томская область","Малый город","тяжелые климатические условия","40,8 тыс.чел.","183","48","36","21","21","24","33","https://api.индекс-городов.рф/uploads/city/emblem/3979/thumb_636_strezhevoy.png"
"116","Теберда","Республика Карачаево-Черкесия","Малый город","условно комфортный климат","8,6 тыс.чел.","137","42","23","17","14","9","32","None"
"117","Шлиссельбург","Ленинградская область","Малый город","условно комфортный климат","14,9 тыс.чел.","180","49","43","24","17","19","28","https://api.индекс-городов.рф/uploads/city/emblem/4090/thumb_748_shlisselburg.png"
"118","Волчанск","Свердловская область","Малый город","условно комфортный климат","8,5 тыс.чел.","171","26","38","27","19","30","31","https://api.индекс-городов.рф/uploads/city/emblem/3468/thumb_123_volchansk.png"
"119","Каменногорск","Ленинградская область","Малый город","условно комфортный климат","6,3 тыс.чел.","154","29","27","22","15","22","39","https://api.индекс-городов.рф/uploads/city/emblem/3595/thumb_251_Kamennogorsk.png"
"120","Чита","Забайкальский край","Крупный город","условно комфортный климат","351,8 тыс.чел.","181","32","29","19","30","31","40","https://api.индекс-городов.рф/uploads/city/emblem/4374/thumb_1032_Chita.png"
"121","Благовещенск","Республика Башкортостан","Малый город","условно комфортный климат","34,8 тыс.чел.","176","35","23","42","26","27","23","https://api.индекс-городов.рф/uploads/city/emblem/3419/thumb_74_blagoveshensk.png"
"122","Чухлома","Костромская область","Малый город","условно комфортный климат","4,9 тыс.чел.","151","32","35","16","28","13","27","https://api.индекс-городов.рф/uploads/city/emblem/4078/thumb_736_chuxloma.png"
"123","Заводоуковск","Тюменская область","Малый город","условно комфортный климат","26,5 тыс.чел.","179","30","22","29","30","32","36","https://api.индекс-городов.рф/uploads/city/emblem/3549/thumb_204_Zavodoukovsk.png"
"124","Ряжск","Рязанская область","Малый город","условно комфортный климат","20,9 тыс.чел.","159","28","31","19","18","24","39","https://api.индекс-городов.рф/uploads/city/emblem/3911/thumb_568_Ryazhsk.png"
"125","Лысково","Нижегородская область","Малый город","условно комфортный климат","21,1 тыс.чел.","180","36","35","30","25","22","32","https://api.индекс-городов.рф/uploads/city/emblem/3721/thumb_378_lyskovo.png"
